Periodo,% Crecimiento PIB,% Crecimiento Desempleo,Tasa de Intervencion
2001-2,0.146209009259906,-0.354791592500603,6.78500000000001
2001-3,0.963570634037822,0.817361624777916,6.45000000000001
2001-4,0.796000716125221,-0.167569917912601,5.47999999999999
2002-1,-1.02198357721578,-1.817984293341,4.7275
2002-2,3.32261226067392,4.3445958378897,3.7225
2002-3,-0.199064796259179,-3.5216770569331,3.3075
2002-4,0.125834995515461,0.32489979177464,3.2025
2003-1,0.786148806738424,0.660313811222963,3.7025
2003-2,1.75769072602576,0.971541919287336,4.0975
2003-3,1.24367732179174,-0.51401340423402,4.63999999999999
2003-4,1.29149390950529,0.0478165877135499,4.34999999999999
2004-1,1.85342909807412,0.56193518856883,4.40999999999999
2004-2,-0.0611559726919779,-1.9145850707661,4.05
2004-3,1.1689187501561,1.23007472284808,4.2525
2004-4,3.26996667078139,2.10104792062529,4.095
2005-1,-0.404021085597478,-3.67398775637887,3.9
2005-2,1.65218519531311,2.05620628091059,4.03
2005-3,0.0941031579782674,-1.55808203733484,4.045
2005-4,1.59227240142641,1.49816924344814,3.6
2006-1,2.57220109300233,0.97992869157592,3.78
2006-2,1.54943870048676,-1.02276239251557,3.66
2006-3,1.67252286768371,0.12308416719695,4.0375
2006-4,1.32718827976686,-0.34533458791685,4.25
2007-1,1.93099193210844,0.60380365234158,4.83250000000001
2007-2,1.45077848631277,-0.48021344579567,5.05749999999999
2007-3,2.12236681772167,0.6715883314089,5.59749999999999
2007-4,1.10054831005613,-1.02181850766554,5.7975
2008-1,0.570992773597624,-0.529555536458506,5.7575
2008-2,0.452589303165965,-0.118403470431659,5.85
2008-3,1.05859426049371,0.606004957327745,6.3525
2008-4,-1.66937815290974,-2.72797241340345,6.065
2009-1,0.268810327018002,1.93818847992774,5.32
2009-2,1.1762775476122,0.907467220594198,3.465
2009-3,0.661582352723713,-0.514695194888487,2.82
2009-4,1.11681395862251,0.455231605898797,2.31
2010-1,0.834438333235397,-0.282375625387113,2.135
2010-2,1.45412641357115,0.619688080335753,1.9
2010-3,1.18064067193657,-0.27348574163458,1.92
2010-4,1.75078203614282,0.57014136420625,1.83
2011-1,2.13157489917765,0.38079286303483,1.9375
2011-2,1.67830663627598,-0.45326826290167,2.3125
2011-3,1.97442105209295,0.29611441581697,2.7875
2011-4,0.528691722130034,-1.44572932996292,2.7575
2012-1,0.850719628987832,0.322027906857798,3.16
2012-2,1.40283855362391,0.552118924636078,3.0975
2012-3,-0.213682317009585,-1.6165208706335,3.0325
2012-4,1.10249361027186,1.31617592728145,2.8275
2013-1,1.56349029554259,0.46099668527073,2.34
2013-2,2.22507529515312,0.66158499961053,1.9825
2013-3,0.728382885000656,-1.49669241015246,2.0475
2013-4,1.48620827212247,0.757825387121814,1.9825
2014-1,1.50213689209893,0.0159286199764599,1.9825
2014-2,0.422716509847177,-1.07942038225175,2.0775
2014-3,0.606659188073806,0.183942678226629,2.7175
2014-4,1.12961468888311,0.522955500809304,2.7
2015-1,0.783582811902562,-0.346031876980548,2.745
2015-2,0.373823516896451,-0.409759295006111,2.61
2015-3,1.42948941074562,1.05566589384917,2.8425
2015-4,-0.425816534308083,-1.8553059450537,3.115
2016-1,0.790015123469828,1.21583165777791,3.6325
2016-2,0.445893255268516,-0.344121868201312,4.305
2016-3,0.73208660079726,0.286193345528744,4.835
2016-4,0.394501477456316,-0.337585123340944,4.6275
2017-1,-0.240619922535359,-0.635121399991675,4.65250000000001
2017-2,0.6966294783807,0.937249400916059,3.87
2017-3,0.295682869747324,-0.400946608633376,3.345
2017-4,0.609130940332221,0.313448070584897,2.895
2018-1,0.643066976180791,0.03393603584857,2.7475
2018-2,0.602503012803794,-0.040563963376997,2.6425
2018-3,0.951405303059545,0.348902290255751,2.5925
2018-4,0.5651582156259,-0.386247087433645,2.5925
2019-1,0.475738437778972,-0.089419777846928,2.5925
2019-2,1.57644034971291,1.10070191193394,2.55
2019-3,0.790070843361306,-0.786369506351604,2.6775
2019-4,0.47435828967491,-0.315712553686396,2.5925
2020-1,-2.38534126234875,-2.85969955202366,2.625
